Question ID: 1; Prediction: b; Correct Answer: c; [[-934.96529606564036], [-920.06105536259679], [-983.75811539794893], [-972.30237719994318], [-973.40980363812582]]; False.
Question ID: 33; Prediction: d; Correct Answer: c; [[-1095.7207074648852], [-1075.7738781869125], [-1105.7612588399084], [-950.97052479031686], [-954.57605605297147]]; False.
Question ID: 34; Prediction: b; Correct Answer: a; [[-737.73697626795843], [-585.74639005965025], [-671.26034745651157], [-679.06442058543053], [-818.3914832610036]]; False.
Question ID: 35; Prediction: a; Correct Answer: e; [[-661.34934281834853], [-844.8811938962009], [-964.78221195950198], [-741.16256878546881], [-806.60953650965666]]; False.
Question ID: 36; Prediction: a; Correct Answer: c; [[-664.13973493837045], [-754.96482534716938], [-776.82311720501173], [-833.1136790904352], [-874.77754784486399]]; False.
Question ID: 37; Prediction: a; Correct Answer: d; [[-607.40768681454074], [-743.46012709233128], [-685.91821636103737], [-675.12665817088271], [-639.73208017156128]]; False.
Question ID: 38; Prediction: b; Correct Answer: c; [[-679.33987627166823], [-581.18410256408401], [-776.89791534321898], [-688.479127694309], [-658.16100821730981]]; False.
Question ID: 39; Prediction: e; Correct Answer: e; [[-732.39079807345593], [-767.1194796434246], [-685.05826370836712], [-755.20844610820473], [-658.96279720094299]]; True.
Question ID: 40; Prediction: b; Correct Answer: a; [[-965.7378254291234], [-830.15579716357615], [-954.54959805222086], [-933.95630234338591], [-992.59708875517265]]; False.
Question ID: 41; Prediction: a; Correct Answer: d; [[-888.53585478604987], [-991.48830178012361], [-1014.4463909360861], [-890.8464603060936], [-935.50620229069887]]; False.
Question ID: 42; Prediction: b; Correct Answer: c; [[-960.58231375830201], [-894.30487610645775], [-1027.2694068915953], [-984.07952360623506], [-915.9796412972471]]; False.
Question ID: 43; Prediction: a; Correct Answer: e; [[-1083.4106104566877], [-1110.478205940143], [-1106.1436531747495], [-1153.8983308452412], [-1164.2088285419413]]; False.
Question ID: 44; Prediction: e; Correct Answer: a; [[-1069.6860867042194], [-1043.7087333263426], [-908.62722301252938], [-1067.0349120320275], [-862.90558026141468]]; False.
Question ID: 45; Prediction: e; Correct Answer: a; [[-1091.6622950115666], [-1084.8114254976688], [-1051.4361172958966], [-1082.0374754027098], [-999.84166993456392]]; False.
Question ID: 46; Prediction: d; Correct Answer: c; [[-1056.9501105527313], [-1108.0859653688092], [-972.13162668525752], [-846.35192523958312], [-960.22990927290527]]; False.
Question ID: 47; Prediction: c; Correct Answer: d; [[-758.43215718818817], [-740.07199892266306], [-735.18162551050489], [-811.84606284523102], [-763.87829972873305]]; False.
Question ID: 48; Prediction: d; Correct Answer: e; [[-964.11159680495189], [-908.65403221890438], [-908.76025660428911], [-867.73891588491563], [-945.29526686791701]]; False.
Question ID: 49; Prediction: e; Correct Answer: c; [[-814.04864654513051], [-864.46469411177475], [-860.22075208103593], [-837.34823340028606], [-798.4400057494812]]; False.
Question ID: 50; Prediction: a; Correct Answer: d; [[-771.31606302862667], [-978.740745439845], [-1010.7779244999983], [-954.14279346360468], [-885.64937863167222]]; False.
Question ID: 51; Prediction: a; Correct Answer: d; [[-843.98986902816284], [-931.28849956602244], [-895.18169050276742], [-942.88335230742575], [-884.3802240914431]]; False.
Question ID: 52; Prediction: d; Correct Answer: d; [[-759.7908048161305], [-704.26716329885846], [-697.93023976882819], [-667.28148965178866], [-700.02781171762706]]; True.
Question ID: 53; Prediction: a; Correct Answer: c; [[-696.13847914441419], [-928.61765896377369], [-840.19560751144923], [-908.54376733917434], [-939.45560120568587]]; False.
Question ID: 54; Prediction: a; Correct Answer: c; [[-635.95777211520453], [-718.81121148436114], [-714.32589192085368], [-684.40000316962482], [-752.94268082651195]]; False.
Question ID: 55; Prediction: e; Correct Answer: a; [[-706.27838405896875], [-690.03063128170902], [-700.76781510479395], [-681.54328653690561], [-621.17102434678065]]; False.
Question ID: 56; Prediction: d; Correct Answer: c; [[-658.93266168033676], [-649.8269614634047], [-618.70409053471076], [-615.16934825137594], [-726.00639676252138]]; False.
Question ID: 57; Prediction: c; Correct Answer: a; [[-991.10270025417685], [-1022.7134965068628], [-967.44546921324059], [-1090.1031049969822], [-1041.6555611096765]]; False.
Question ID: 58; Prediction: d; Correct Answer: d; [[-1132.3401060398653], [-1123.0077717890417], [-1199.8233439079188], [-1018.1231700150157], [-1185.3611982055802]]; True.
Question ID: 59; Prediction: b; Correct Answer: d; [[-879.62538449934448], [-745.56231847836807], [-866.09493539406242], [-894.55681382154899], [-835.81165495564699]]; False.
Question ID: 60; Prediction: c; Correct Answer: c; [[-1048.4602675890198], [-1066.4642120018402], [-979.43755576654701], [-999.93628199468901], [-1042.3266897123642]]; True.
Question ID: 61; Prediction: c; Correct Answer: a; [[-1028.8038795023069], [-998.70798746659307], [-831.68385766979748], [-837.93420484060766], [-965.86117743564341]]; False.
Question ID: 62; Prediction: c; Correct Answer: d; [[-1261.5828286370472], [-1263.5856851941082], [-1126.6650534520888], [-1292.9927610332475], [-1336.5444681910374]]; False.
Question ID: 63; Prediction: d; Correct Answer: e; [[-582.10660510837022], [-784.33169813795939], [-673.15577796532011], [-574.51361263712806], [-703.10297911730243]]; False.
Question ID: 64; Prediction: a; Correct Answer: c; [[-811.0375128867197], [-879.19718087040064], [-941.10697235611792], [-897.45037653647535], [-869.67251599971939]]; False.
Question ID: 65; Prediction: a; Correct Answer: c; [[-1024.9201058501337], [-1084.9879383777836], [-1136.0388335445659], [-1100.6649279598714], [-1037.7906893302782]]; False.
Question ID: 66; Prediction: a; Correct Answer: a; [[-950.88396341271982], [-1037.6201037421433], [-1030.0188336173474], [-973.30008935443493], [-1002.4606506345051]]; True.
Question ID: 67; Prediction: b; Correct Answer: a; [[-1158.1018783739751], [-1074.7355039044201], [-1110.6969233962816], [-1195.4764599555851], [-1238.384320631734]]; False.
Question ID: 68; Prediction: d; Correct Answer: c; [[-1124.1262255260667], [-1078.0850346352283], [-1093.2130606492544], [-1022.3522901975124], [-1052.3062040399211]]; False.
Question ID: 69; Prediction: d; Correct Answer: d; [[-996.86911216271994], [-1050.8046643609755], [-1090.6697918559282], [-827.37403837691522], [-1054.9969170914515]]; True.
Question ID: 70; Prediction: c; Correct Answer: a; [[-785.82360916033713], [-778.16516449070059], [-679.08775139308466], [-883.78743152596462], [-773.85283349783072]]; False.
Question ID: 71; Prediction: d; Correct Answer: a; [[-1212.880287033503], [-1279.4358455115407], [-1249.9411574555029], [-1067.868820927486], [-1159.1427145612549]]; False.
Question ID: 72; Prediction: a; Correct Answer: e; [[-829.66567149877153], [-940.08888307194547], [-835.88045236621326], [-884.9447229448615], [-922.64038650272221]]; False.
Question ID: 73; Prediction: a; Correct Answer: c; [[-673.43704447562016], [-756.25857652411037], [-836.85972866842314], [-857.31901004303427], [-738.70880165657525]]; False.
Question ID: 74; Prediction: a; Correct Answer: a; [[-917.03210391590562], [-967.19019690695734], [-1036.2325776601667], [-1021.1175727229738], [-965.78441392049513]]; True.
Question ID: 75; Prediction: b; Correct Answer: e; [[-975.523828430854], [-899.37277031948088], [-910.58524906786374], [-1041.5364545626146], [-946.72599392196753]]; False.
Question ID: 76; Prediction: d; Correct Answer: b; [[-981.22838374408491], [-977.19759901524287], [-972.06926238168569], [-868.12385977647443], [-967.83467363938371]]; False.
Question ID: 77; Prediction: e; Correct Answer: a; [[-1211.5454648191567], [-1203.6156890813209], [-1282.6750241616992], [-1203.6313560394674], [-1128.5369047695035]]; False.
Question ID: 78; Prediction: d; Correct Answer: d; [[-1018.7014844229473], [-1060.4398050414513], [-1011.6157445982383], [-906.42177595703708], [-909.12600992432795]]; True.
Question ID: 79; Prediction: b; Correct Answer: c; [[-987.47750186397843], [-973.63922271145839], [-1088.8324893603451], [-1041.4070934593135], [-1138.2384994778927]]; False.
Question ID: 80; Prediction: e; Correct Answer: e; [[-818.93400618861949], [-855.42591567054467], [-765.44417612331881], [-782.07876553722565], [-761.3632616450534]]; True.
Question ID: 81; Prediction: e; Correct Answer: d; [[-683.93626776116048], [-733.42743021183674], [-737.37872837594136], [-796.27056248839551], [-565.74182082822938]]; False.
Question ID: 82; Prediction: c; Correct Answer: c; [[-879.12801541271619], [-974.34677473049169], [-878.90862046232178], [-896.28909580863649], [-971.30287867993536]]; True.
Question ID: 83; Prediction: c; Correct Answer: e; [[-939.23122374889306], [-951.20732880387584], [-671.77495787141891], [-1057.7883725744953], [-1004.1842319482987]]; False.
Question ID: 84; Prediction: a; Correct Answer: c; [[-673.63390019908206], [-730.14740561415715], [-745.0592728520221], [-774.23651038673711], [-726.92229978727619]]; False.
Question ID: 85; Prediction: b; Correct Answer: d; [[-954.52541487945132], [-897.14873354091708], [-983.09337477421661], [-902.58343071535023], [-1031.8364634584243]]; False.
Question ID: 86; Prediction: a; Correct Answer: e; [[-803.02270270063104], [-899.97993174748206], [-884.08060093495465], [-927.6767268313431], [-849.16701204459252]]; False.
Question ID: 87; Prediction: a; Correct Answer: a; [[-970.79728715191777], [-1051.0055997510492], [-1082.3828135016515], [-1075.1736234388177], [-1019.6265837515097]]; True.
Question ID: 88; Prediction: a; Correct Answer: d; [[-534.19298222653356], [-562.32526212581035], [-611.80743645564758], [-643.12506578914054], [-623.00753637079731]]; False.
Question ID: 89; Prediction: b; Correct Answer: a; [[-858.4819042887998], [-660.84937411008934], [-758.8374835359399], [-845.26591051907576], [-798.67377288373996]]; False.
Question ID: 90; Prediction: c; Correct Answer: a; [[-1138.9191317574066], [-1056.7147284242008], [-961.72426790781435], [-1125.2082092476014], [-1157.6013143834921]]; False.
Question ID: 91; Prediction: a; Correct Answer: a; [[-946.56880183562794], [-1029.5634398955112], [-1015.450460324202], [-1049.6028915751222], [-1086.7358210564662]]; True.
Question ID: 92; Prediction: d; Correct Answer: d; [[-954.53782682622773], [-845.99834281480184], [-823.90338351223909], [-751.10822618426755], [-890.77772517950723]]; True.
Question ID: 93; Prediction: b; Correct Answer: a; [[-941.00862465305681], [-726.82594098032723], [-942.76923489568208], [-883.31123804317292], [-831.51811827891629]]; False.
Question ID: 94; Prediction: a; Correct Answer: b; [[-830.42093597336475], [-940.73044195653245], [-991.65095008271112], [-922.95175053953938], [-951.78581896491221]]; False.
Question ID: 95; Prediction: c; Correct Answer: c; [[-865.37408697786407], [-734.94129015310909], [-718.67487965474743], [-794.79105157968536], [-729.35383620958066]]; True.
Question ID: 96; Prediction: c; Correct Answer: a; [[-952.80192444832085], [-1094.3421270603124], [-939.12165246653421], [-1054.9525862090657], [-1023.4490757206339]]; False.
Question ID: 97; Prediction: a; Correct Answer: d; [[-599.65301025453107], [-659.91254746767652], [-711.94669630669853], [-612.65076506916944], [-631.974933207822]]; False.
Question ID: 98; Prediction: a; Correct Answer: e; [[-871.70159670599105], [-910.30295404270623], [-920.89479067091361], [-938.23008250301723], [-949.81361290505981]]; False.
Question ID: 99; Prediction: e; Correct Answer: c; [[-911.19525725380481], [-973.19426032748356], [-1027.1961784456059], [-972.19551934455842], [-873.66652523613493]]; False.
Question ID: 100; Prediction: a; Correct Answer: d; [[-709.32707710593081], [-824.16319615340456], [-778.37809694149439], [-728.31451062789131], [-782.66610616357116]]; False.
Question ID: 101; Prediction: a; Correct Answer: c; [[-912.99016092231409], [-926.87513469928206], [-994.9720840877394], [-988.81198509112824], [-919.80815751186276]]; False.
Question ID: 102; Prediction: b; Correct Answer: b; [[-936.86400911915189], [-855.91474141540914], [-888.65860177662773], [-894.04919532351994], [-892.9836474456315]]; True.
Question ID: 103; Prediction: c; Correct Answer: a; [[-1237.1723112238431], [-1166.3537747009987], [-1131.0144427430653], [-1175.8488628691389], [-1231.3411034861497]]; False.
Question ID: 104; Prediction: d; Correct Answer: b; [[-1048.6499344048532], [-1040.924195522857], [-1080.753145911998], [-955.79911636047279], [-1046.9173266314922]]; False.
Question ID: 105; Prediction: e; Correct Answer: c; [[-865.5871841192411], [-903.24408268908405], [-977.20806252290129], [-850.33583485235329], [-833.24757761733781]]; False.
Question ID: 106; Prediction: a; Correct Answer: c; [[-974.76823556771535], [-974.89213672003439], [-1015.8085652497881], [-994.05364496687525], [-1000.1474039664038]]; False.
Question ID: 107; Prediction: b; Correct Answer: d; [[-754.69319338069704], [-659.80136655457318], [-755.41617218833812], [-740.23070274704571], [-706.73852429971646]]; False.
Question ID: 108; Prediction: a; Correct Answer: a; [[-1008.2793319836641], [-1245.685132033791], [-1235.1297715453898], [-1169.8651934551256], [-1112.503458924818]]; True.
Question ID: 109; Prediction: d; Correct Answer: c; [[-913.4581178194602], [-1074.7539790655578], [-1037.4803953324997], [-868.44912959159581], [-1059.4170402629625]]; False.
Question ID: 110; Prediction: d; Correct Answer: c; [[-820.07248846566097], [-869.56231578172151], [-861.05796256399606], [-809.97632254980272], [-878.77529152026511]]; False.
Question ID: 111; Prediction: a; Correct Answer: b; [[-991.11274655825889], [-1213.7364196259696], [-992.97094708246379], [-1060.192217375728], [-1112.8472160411136]]; False.
Question ID: 112; Prediction: a; Correct Answer: d; [[-610.57234139132538], [-726.73762349175627], [-709.50332867015265], [-781.97849539033291], [-714.58421216775957]]; False.
Question ID: 113; Prediction: a; Correct Answer: e; [[-597.42840307890049], [-668.24277614327525], [-638.88968412707561], [-717.05708908733277], [-833.3535941030093]]; False.
Question ID: 114; Prediction: e; Correct Answer: c; [[-938.55238535378032], [-949.43402792025859], [-942.18527715680443], [-895.52579132789333], [-889.38882652269217]]; False.
Question ID: 115; Prediction: e; Correct Answer: a; [[-841.42369276535783], [-936.1626953199293], [-930.48062953880446], [-912.82272709336644], [-833.28718459945401]]; False.
Question ID: 116; Prediction: e; Correct Answer: d; [[-406.97118832592724], [-587.21656408858905], [-489.85948663472141], [-538.07821663735513], [-403.94218189782117]]; False.
Question ID: 117; Prediction: a; Correct Answer: d; [[-732.38525415142374], [-791.56219210348115], [-868.15844660803361], [-820.93894537468418], [-791.91740571730281]]; False.
Question ID: 118; Prediction: b; Correct Answer: b; [[-854.85044788832317], [-613.29779867428215], [-814.52445277471793], [-842.22733586180254], [-740.15362474447386]]; True.
Question ID: 119; Prediction: d; Correct Answer: a; [[-757.35989299633729], [-732.78596606978999], [-748.72808175686544], [-615.52530202757748], [-753.37652014208049]]; False.
Question ID: 120; Prediction: a; Correct Answer: b; [[-503.63281304713092], [-571.90559341611913], [-643.10724461166194], [-649.33624631663236], [-677.55710686476323]]; False.
Question ID: 121; Prediction: b; Correct Answer: e; [[-1192.8132984717554], [-981.24448291078681], [-1123.0014915479121], [-1106.304722254157], [-1127.2603232996232]]; False.
Question ID: 122; Prediction: e; Correct Answer: b; [[-726.3759291781854], [-794.74675367178793], [-658.89683838932365], [-743.8286437175849], [-654.17185592621718]]; False.
Question ID: 123; Prediction: a; Correct Answer: d; [[-1066.8976192375908], [-1195.8327561483898], [-1220.7057345233361], [-1190.8129410820952], [-1124.896963969803]]; False.
Question ID: 124; Prediction: e; Correct Answer: b; [[-917.38193412318572], [-836.90672889165137], [-903.72589717766698], [-872.65789997783224], [-696.36363234984128]]; False.
Question ID: 125; Prediction: c; Correct Answer: a; [[-1005.7872954086962], [-1051.8909368012926], [-971.28468722891864], [-1096.8076388472932], [-1038.2557786141549]]; False.
Question ID: 126; Prediction: c; Correct Answer: c; [[-1066.6627107492066], [-1070.9056427278176], [-942.12512011915055], [-1037.1011331042891], [-1064.4173958811343]]; True.
Question ID: 127; Prediction: b; Correct Answer: c; [[-1025.7207151245325], [-974.12616976322681], [-1095.8693358178402], [-1091.4946664097699], [-1112.2026595028235]]; False.
Question ID: 128; Prediction: a; Correct Answer: d; [[-1102.6529469619454], [-1157.3808618355447], [-1126.0679326070267], [-1124.3017500742899], [-1232.1201070490713]]; False.
Question ID: 129; Prediction: a; Correct Answer: d; [[-811.72329283704596], [-926.42955009512855], [-845.25461008581476], [-877.79821497564672], [-969.43581808778447]]; False.
Question ID: 130; Prediction: a; Correct Answer: b; [[-726.86118628917598], [-736.78342459808971], [-841.822297006128], [-865.7961138381919], [-850.23324949792243]]; False.
Question ID: 131; Prediction: c; Correct Answer: c; [[-369.28442401417726], [-410.29158659008522], [-322.08903462243609], [-478.40665376299376], [-452.3337271523452]]; True.
Question ID: 132; Prediction: b; Correct Answer: a; [[-877.83066502068175], [-849.09945255258719], [-1004.4648691315476], [-989.47461476165938], [-972.64182801401773]]; False.
Question ID: 133; Prediction: c; Correct Answer: c; [[-974.15485064205598], [-1101.1253499222835], [-899.61147275484393], [-993.911054785891], [-1095.4200457212685]]; True.
Question ID: 134; Prediction: d; Correct Answer: d; [[-872.30541381770627], [-828.15864345974592], [-750.24992288073236], [-586.9935798017633], [-863.62889895684384]]; True.
Question ID: 135; Prediction: e; Correct Answer: e; [[-979.99938837420962], [-943.85906496635653], [-931.60274953386465], [-966.44418024179367], [-916.3161942855935]]; True.
Question ID: 136; Prediction: d; Correct Answer: b; [[-1040.5476913933226], [-1139.8885270169874], [-1113.1058181628021], [-989.42983208078692], [-1174.36644583411]]; False.
Question ID: 137; Prediction: c; Correct Answer: d; [[-758.59550084970908], [-727.04352267647187], [-687.71698867482473], [-744.68121487392204], [-776.86034661340625]]; False.
Question ID: 138; Prediction: c; Correct Answer: e; [[-985.33033907385061], [-1061.5239057944077], [-974.76343660700593], [-1096.4640181553768], [-1084.3026379044736]]; False.
Question ID: 139; Prediction: b; Correct Answer: d; [[-1180.244111621035], [-974.79834999585853], [-1114.0175619412564], [-1152.045320440981], [-1143.1180092732779]]; False.
Question ID: 140; Prediction: d; Correct Answer: e; [[-718.04554499536118], [-693.9912382420805], [-726.57538778233356], [-677.42650474675759], [-782.15031872312261]]; False.
Question ID: 141; Prediction: b; Correct Answer: e; [[-775.84145208622601], [-763.48491635357834], [-972.54754017475693], [-812.78256452753374], [-972.61568008695099]]; False.
Question ID: 142; Prediction: b; Correct Answer: a; [[-889.66289160382121], [-594.53846735520256], [-899.16630307287664], [-914.05885502955175], [-831.38947526469974]]; False.
Question ID: 143; Prediction: d; Correct Answer: c; [[-750.89621445163027], [-818.50023425276538], [-543.85278237457032], [-527.69248885316745], [-830.25108113779868]]; False.
Question ID: 144; Prediction: b; Correct Answer: c; [[-766.03075163661128], [-671.31525507520541], [-748.00683742235276], [-779.40405010101915], [-743.41728831431658]]; False.
Question ID: 145; Prediction: a; Correct Answer: d; [[-1041.385744681005], [-1197.5200535708946], [-1097.2683682620861], [-1067.2982442620646], [-1112.9625959765403]]; False.
Question ID: 146; Prediction: e; Correct Answer: b; [[-1095.3625864815108], [-1114.0123978591396], [-1016.4764122160157], [-1062.9493783221628], [-927.95586241311526]]; False.
Question ID: 147; Prediction: c; Correct Answer: b; [[-848.86654117616683], [-815.60980940251864], [-787.42211753974391], [-820.36758631200587], [-884.78650026642708]]; False.
Question ID: 148; Prediction: b; Correct Answer: d; [[-833.02659991647374], [-787.90221049424622], [-842.08131717330764], [-834.26476800164949], [-948.78043526720307]]; False.
Question ID: 149; Prediction: e; Correct Answer: d; [[-929.13980077161841], [-967.9185798438258], [-968.66113789134317], [-1018.7536314701548], [-872.17901529535266]]; False.
Question ID: 150; Prediction: d; Correct Answer: d; [[-985.27042695287923], [-1030.4127583439838], [-948.26255556563888], [-894.43692772352847], [-995.00266042393105]]; True.
Question ID: 151; Prediction: b; Correct Answer: b; [[-803.4828647845145], [-700.50794781473496], [-792.08757950900053], [-737.48380159820886], [-737.65450039831717]]; True.
Question ID: 152; Prediction: c; Correct Answer: a; [[-1171.9964611079761], [-1143.6548566184078], [-1057.0086278296296], [-1113.1932254139901], [-1153.0264436053137]]; False.
Question ID: 153; Prediction: d; Correct Answer: a; [[-667.6715684411206], [-828.549488593815], [-752.68213220516441], [-612.32312478415042], [-684.38377763386222]]; False.
Question ID: 154; Prediction: e; Correct Answer: b; [[-638.18737124452161], [-458.86525160941164], [-492.79559577137866], [-598.85415099147667], [-371.24093783510324]]; False.
Question ID: 155; Prediction: c; Correct Answer: b; [[-1004.7195859788309], [-1084.6330529116192], [-991.40998392379572], [-1079.5815256475539], [-1088.7327665482321]]; False.
Question ID: 156; Prediction: d; Correct Answer: c; [[-1120.1490516309193], [-1145.1990083082617], [-1135.2069058067402], [-1087.2681663777819], [-1127.375787602457]]; False.
Question ID: 157; Prediction: c; Correct Answer: c; [[-947.17785877143808], [-1115.5887588764165], [-882.79362518150117], [-962.43948282381837], [-975.47545154764794]]; True.
Question ID: 158; Prediction: e; Correct Answer: d; [[-934.61016547368729], [-992.15075092582777], [-976.22811864498624], [-905.46538963251339], [-898.49564574377121]]; False.
Question ID: 159; Prediction: b; Correct Answer: c; [[-863.18269491359729], [-737.97824973990203], [-932.34889375982311], [-799.11544787814898], [-955.52236071881703]]; False.
Question ID: 160; Prediction: b; Correct Answer: c; [[-885.94311628243292], [-859.41207332907766], [-864.49046111499229], [-964.57928930855132], [-1007.2492616774625]]; False.
Question ID: 161; Prediction: c; Correct Answer: c; [[-836.82038744932527], [-819.51818579670078], [-763.92033614215825], [-827.01967618479489], [-814.72304465854506]]; True.
Question ID: 162; Prediction: a; Correct Answer: d; [[-1012.315218636654], [-1076.5137130009498], [-1069.6108987562088], [-1093.7569577262539], [-1039.0556817828817]]; False.
Question ID: 163; Prediction: a; Correct Answer: d; [[-976.67026742073074], [-989.25317232652981], [-1050.4100936638777], [-1019.8768198966803], [-995.20012161046691]]; False.
Question ID: 164; Prediction: d; Correct Answer: c; [[-936.23105594026993], [-1054.1198003682232], [-1068.1781693914704], [-887.98355893334144], [-893.66039034658411]]; False.
Question ID: 165; Prediction: b; Correct Answer: b; [[-947.84058488486505], [-796.09395408824889], [-935.1000026545712], [-874.0942100300108], [-829.24445743275783]]; True.
Question ID: 166; Prediction: c; Correct Answer: e; [[-1105.2986836348498], [-1030.8220834321182], [-821.51517126125464], [-1098.227563254685], [-952.21460010555086]]; False.
Question ID: 167; Prediction: a; Correct Answer: b; [[-817.59800173744441], [-829.97277562695126], [-847.53873640857955], [-862.52665921281812], [-821.883675991671]]; False.
Question ID: 168; Prediction: a; Correct Answer: b; [[-553.97262044511115], [-694.41801554523909], [-652.82132658740261], [-644.23914658713409], [-703.6409611304764]]; False.
Question ID: 169; Prediction: c; Correct Answer: b; [[-817.41956357067068], [-704.85210893351712], [-678.38259933002053], [-756.14219481666464], [-846.71096681210327]]; False.
Question ID: 170; Prediction: b; Correct Answer: c; [[-1057.1144393675359], [-930.76827814778392], [-973.90083785288152], [-958.94688730253745], [-963.62798316634758]]; False.
Question ID: 171; Prediction: a; Correct Answer: d; [[-883.07606659794533], [-912.64299635808857], [-988.90884567086107], [-910.95353967608969], [-906.61494282738795]]; False.
